,username,followers,following,uploads,average_engagement_rate
0,nike,2306790,0,12,0.03999999999999998
1,adidas,164714,0,3,0.03999999999999998
2,zara,513585,0,16,0.03999999999999998
3,hm,400584,5,67,0.03999999999999998
4,dior,470483,1,375,0.03999999999999998
5,gucci,462942,2,107,0.03999999999999998
6,levis,37443,12,17,0.03999999999999998
7,ralphlauren,130796,0,57,0.03999999999999998
8,calvinklein,312849,0,81,0.03999999999999998
9,forever21,-86857,6,116,0.03999999999999998
10,lacoste,36936,1,7,0.03999999999999998
11,puma,91995,0,20,0.03999999999999998
12,tommyhilfiger,107566,0,15,0.03999999999999998
13,louisvuitton,552659,0,78,0.03999999999999998
14,vans,45697,0,32,0.03999999999999998
15,boss,82675,0,26,0.03999999999999998
16,chanelofficial,310544,0,53,0.03999999999999998
